0,66.314453125
6,110.67431640625
31,152.40869140625
62,193.13427734375
95,234.542724609375
129,276.204833984375
164,318.1474609375
198,358.70166015625
232,400.04931640625
268,443.386474609375
303,485.59423828125
337,526.4814453125
371,567.541748046875
407,609.359619140625
441,650.898193359375
475,692.148193359375
509,732.677978515625
543,773.8828125
580,818.36328125
615,860.00439453125
649,901.0390625
684,942.476318359375
719,983.996337890625
754,1026.28369140625
798,1080.040771484375
835,1124.86474609375
869,1167.383544921875
926,1232.94873046875
961,1275.504638671875
996,1317.5966796875
1031,1359.34423828125
1066,1400.498291015625
1100,1441.161376953125
1134,1482.70654296875
1171,1527.34326171875
1207,1569.01123046875
1240,1609.701904296875
1275,1651.451904296875
1310,1692.99609375
1345,1734.722412109375
1378,1775.48583984375
1416,1822.622802734375
1454,1865.163330078125
1487,1906.791015625
1521,1945.342529296875
1555,1986.292724609375
1590,2028.21240234375
